Date,Energy_res3,GlobalSolarRad_W/m2,RelativeHumidity,WindSpeed10m_m/s,Cluster2
2015-02-21 00:00:00,0.64,116.0,83.7,2.0,0
2015-02-21 01:00:00,0.78,15.0,87.4,1.9,0
2015-02-21 02:00:00,0.87,0.0,91.4,1.7,0
2015-02-21 03:00:00,0.5,0.0,94.1,1.4,0
2015-02-21 04:00:00,0.42,0.0,95.3,1.0,0
2015-02-21 05:00:00,0.33,0.0,96.5,0.6,0
2015-02-21 06:00:00,0.4,0.0,96.7,0.5,0
2015-02-21 07:00:00,0.46,0.0,95.8,0.8,0
2015-02-21 08:00:00,0.59,0.0,94.9,1.2,0
2015-02-21 09:00:00,0.99,0.0,93.6,1.5,0
2015-02-21 10:00:00,1.04,0.0,91.7,1.9,0
2015-02-21 11:00:00,1.37,0.0,89.9,2.3,0
2015-02-21 12:00:00,1.41,0.0,89.0,2.5,0
2015-02-21 13:00:00,1.11,0.0,88.9,2.4,0
2015-02-21 14:00:00,0.85,0.0,88.8,2.3,0
2015-02-21 15:00:00,4.29,30.0,87.9,2.4,0
2015-02-21 16:00:00,1.01,155.0,86.0,2.6,0
2015-02-21 17:00:00,0.57,299.0,84.2,2.9,2
2015-02-21 18:00:00,1.04,416.0,78.3,2.9,2
2015-02-21 19:00:00,1.44,491.0,69.1,2.8,1
2015-02-21 20:00:00,2.22,514.0,61.1,2.7,1
2015-02-21 21:00:00,0.97,485.0,55.8,2.6,2
2015-02-21 22:00:00,0.87,405.0,52.6,2.6,2
2015-02-21 23:00:00,0.92,283.0,49.7,2.5,2
2015-02-22 00:00:00,0.75,138.0,49.6,2.5,0
2015-02-22 01:00:00,1.03,18.0,52.3,2.5,0
2015-02-22 02:00:00,0.74,0.0,55.3,2.4,0
2015-02-22 03:00:00,0.51,0.0,58.4,2.4,0
2015-02-22 04:00:00,0.4,0.0,61.8,2.4,0
2015-02-22 05:00:00,0.34,0.0,65.3,2.4,0
2015-02-22 06:00:00,0.42,0.0,68.1,2.4,0
2015-02-22 07:00:00,0.53,0.0,70.0,2.4,0
2015-02-22 08:00:00,0.38,0.0,71.9,2.3,0
2015-02-22 09:00:00,1.24,0.0,73.3,2.4,0
2015-02-22 10:00:00,1.51,0.0,74.0,2.6,0
2015-02-22 11:00:00,0.54,0.0,74.7,2.7,0
2015-02-22 12:00:00,2.09,0.0,74.1,2.6,0
2015-02-22 13:00:00,2.03,0.0,72.1,2.3,0
2015-02-22 14:00:00,3.95,0.0,70.1,2.0,0
2015-02-22 15:00:00,2.81,29.0,67.9,1.8,0
2015-02-22 16:00:00,1.34,136.0,65.3,1.5,0
2015-02-22 17:00:00,1.43,272.0,62.8,1.3,2
2015-02-22 18:00:00,1.58,414.0,58.2,1.0,2
2015-02-22 19:00:00,1.47,339.0,51.8,0.4,2
2015-02-22 20:00:00,1.45,337.0,46.2,0.4,2
2015-02-22 21:00:00,0.88,360.0,44.3,0.6,2
2015-02-22 22:00:00,1.17,287.0,45.7,0.6,2
2015-02-22 23:00:00,0.72,160.0,47.2,0.6,2
2015-02-23 00:00:00,0.44,63.0,49.6,0.7,0
2015-02-23 01:00:00,0.49,19.0,53.3,0.6,0
2015-02-23 02:00:00,0.52,0.0,57.3,0.5,0
2015-02-23 03:00:00,0.47,0.0,60.9,0.4,0
2015-02-23 04:00:00,0.49,0.0,64.1,0.2,0
2015-02-23 05:00:00,0.46,0.0,67.5,0.3,0
2015-02-23 06:00:00,0.44,0.0,71.6,0.5,0
2015-02-23 07:00:00,1.91,0.0,76.4,0.7,0
2015-02-23 08:00:00,0.68,0.0,81.6,0.9,0
2015-02-23 09:00:00,0.49,0.0,84.4,1.2,0
2015-02-23 10:00:00,0.44,0.0,84.6,1.6,0
2015-02-23 11:00:00,0.41,0.0,84.8,2.1,0
2015-02-23 12:00:00,0.45,0.0,83.5,2.2,0
2015-02-23 13:00:00,0.42,0.0,80.5,2.1,0
2015-02-23 14:00:00,0.48,0.0,77.7,2.0,0
2015-02-23 15:00:00,0.43,33.0,73.1,1.8,0
2015-02-23 16:00:00,3.21,158.0,67.1,1.4,2
2015-02-23 17:00:00,2.6,297.0,61.7,1.1,2
2015-02-23 18:00:00,2.96,411.0,56.0,0.6,2
2015-02-23 19:00:00,1.59,484.0,50.0,0.0,2
2015-02-23 20:00:00,1.6,506.0,44.8,0.6,1
2015-02-23 21:00:00,3.95,477.0,43.9,1.0,2
2015-02-23 22:00:00,1.07,399.0,47.1,1.2,2
2015-02-23 23:00:00,0.78,281.0,50.5,1.4,2
2015-02-24 00:00:00,0.65,138.0,54.4,1.5,0
2015-02-24 01:00:00,0.4,20.0,58.9,1.7,0
2015-02-24 02:00:00,0.43,0.0,63.8,1.9,0
2015-02-24 03:00:00,0.43,0.0,66.6,1.9,0
2015-02-24 04:00:00,0.39,0.0,67.1,1.8,0
